access_decision_id,decision_time,user_id,assigned_roles,requested_permission,resource_type,resource_id,decision,decision_reason,policy_engine,zero_trust_checks,session_risk_score
ACD00138,2026-06-28T14:21:00,U0093,Employee,leave.approve,purchase_request,PUR0066,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.902
ACD00139,2026-06-01T12:14:00,U0080,Employee,employee.read,employee,E0087,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.189
ACD00140,2026-04-21T07:44:00,U0064,Employee,task.update_own,project,PRJ006,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.79
ACD00141,2026-01-15T04:43:00,U0128,Employee,user.manage,employee,E0028,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.045
ACD00142,2026-02-28T19:48:00,U0115,Employee,employee.salary.read,purchase_request,PUR0150,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.647
ACD00143,2026-02-03T13:38:00,U0071,Employee,project.update,purchase_request,PUR0148,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.637
ACD00144,2026-01-18T14:28:00,U0113,Employee,sales.read,audit_log,AUD001094,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.128
ACD00145,2026-03-17T02:15:00,U0041,Employee,project.update,employee,E0106,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.914
ACD00146,2026-02-12T00:33:00,U0131,Employee,expense.approve,document,DOC012,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.699
ACD00147,2026-06-14T07:59:00,U0110,Employee,user.manage,sales_order,SO002446,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.877
ACD00148,2026-08-17T15:57:00,U0148,Employee,task.reassign,audit_log,AUD009813,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.183
ACD00149,2026-01-21T11:15:00,U0109,Employee,ai.execute_low_risk,sales_order,SO000502,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.786
ACD00150,2026-04-02T10:00:00,U0161,Employee,employee.read,task,T00105,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.621
ACD00151,2026-03-05T20:49:00,U0081,Employee,project.read,sales_order,SO000919,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.055
ACD00152,2026-04-26T12:02:00,U0083,Employee,user.manage,task,T00491,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.799
ACD00153,2026-01-26T11:02:00,U0130,Employee,document.read_finance,purchase_request,PUR0070,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.43
ACD00154,2026-04-15T06:07:00,U0085,Employee,ai.execute_high_risk,audit_log,AUD001941,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.349
ACD00155,2026-03-15T07:48:00,U0044,Employee,user.manage,employee,E0149,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.251
ACD00156,2026-07-11T07:56:00,U0020,Employee,document.read_finance,purchase_request,PUR0061,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.601
ACD00157,2026-08-09T18:34:00,U0005,Employee|Sales_Manager,evaluation.manage,sales_order,SO001645,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.028
ACD00158,2026-05-20T20:55:00,U0114,Employee,ai.execute_high_risk,employee,E0027,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.682
ACD00159,2026-02-05T06:18:00,U0069,Employee,leave.approve,project,PRJ011,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.616
ACD00160,2026-02-05T14:01:00,U0198,Employee,document.read_security,document,DOC014,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.714
ACD00161,2026-03-25T06:53:00,U0051,Employee,user.manage,sales_order,SO003510,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.496
ACD00162,2026-06-07T10:42:00,U0102,Employee,employee.read,audit_log,AUD004069,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.149
ACD00163,2026-01-11T15:52:00,U0141,Employee,task.reassign,employee,E0037,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.892
ACD00164,2026-07-26T03:52:00,U0198,Employee,project.read,purchase_request,PUR0077,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.693
ACD00165,2026-05-22T01:50:00,U0092,Employee,sales.read,purchase_request,PUR0050,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.546
ACD00166,2026-03-09T10:52:00,U0187,Employee,ai.execute_high_risk,project,PRJ007,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.098
ACD00167,2026-05-18T03:23:00,U0090,Employee,evaluation.read,audit_log,AUD007415,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.737
ACD00168,2026-02-11T01:55:00,U0092,Employee,ai.execute_low_risk,project,PRJ013,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.292
ACD00169,2026-06-19T15:54:00,U0199,Employee,employee.read_sensitive,audit_log,AUD003081,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.173
ACD00170,2026-04-29T03:11:00,U0043,Employee,audit.read,purchase_request,PUR0016,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.88
ACD00171,2026-06-25T10:59:00,U0024,Auditor|Employee,document.read_finance,sales_order,SO002740,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.587
ACD00172,2026-03-05T19:43:00,U0146,Employee,ai.query,task,T00143,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.589
ACD00173,2026-03-21T16:41:00,U0094,Employee,sales.read,employee,E0104,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.667
ACD00174,2026-04-21T06:51:00,U0027,Employee,sales.export,purchase_request,PUR0139,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.348
ACD00175,2026-01-13T14:57:00,U0079,Employee,document.read_finance,document,DOC007,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.351
ACD00176,2026-06-10T10:06:00,U0133,Employee,project.create,purchase_request,PUR0153,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.432
ACD00177,2026-01-04T09:13:00,U0127,Employee,employee.read,task,T00407,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.535
ACD00178,2026-04-10T01:10:00,U0088,Employee,employee.salary.read,employee,E0144,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.28
ACD00179,2026-08-04T19:00:00,U0193,Employee,ai.execute_low_risk,document,DOC008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.12
ACD00180,2026-01-20T09:12:00,U0098,Employee,document.read_finance,task,T00487,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.548
ACD00181,2026-08-20T07:29:00,U0051,Employee,evaluation.read,project,PRJ017,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.49
ACD00182,2026-04-03T12:54:00,U0126,Employee,employee.salary.read,task,T00501,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.246
ACD00183,2026-07-12T21:11:00,U0118,Employee,employee.read_sensitive,task,T00097,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.716
ACD00184,2026-08-25T08:38:00,U0107,Employee,document.read_finance,document,DOC010,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.222
ACD00185,2026-05-07T01:21:00,U0118,Employee,sales.read,employee,E0102,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.148
ACD00186,2026-02-10T12:04:00,U0095,Employee,evaluation.manage,audit_log,AUD002431,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.312
ACD00187,2026-06-13T20:26:00,U0063,Employee,finance.read,document,DOC013,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.256
ACD00188,2026-02-20T22:38:00,U0163,Employee,task.update_own,project,PRJ015,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.451
ACD00189,2026-01-11T03:03:00,U0142,Employee,task.reassign,employee,E0111,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.795
ACD00190,2026-01-21T21:15:00,U0165,Employee,project.update,task,T00407,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.302
ACD00191,2026-07-07T22:40:00,U0121,Employee,employee.salary.read,audit_log,AUD008874,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.455
ACD00192,2026-06-12T21:37:00,U0010,Employee,document.read_hr,sales_order,SO003276,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.599
ACD00193,2026-06-17T20:25:00,U0007,Employee|Project_Manager,expense.approve,document,DOC008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.783
ACD00194,2026-01-23T13:04:00,U0126,Employee,ai.query,audit_log,AUD007233,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.833
ACD00195,2026-08-12T19:46:00,U0160,Employee,document.read_hr,project,PRJ012,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.881
ACD00196,2026-04-16T11:01:00,U0011,Employee,approval.review,document,DOC013,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.457
ACD00197,2026-08-06T22:43:00,U0170,Employee,document.upload,project,PRJ005,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.894
ACD00198,2026-01-01T00:43:00,U0088,Employee,task.reassign,audit_log,AUD008506,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.487
ACD00199,2026-02-05T16:25:00,U0172,Employee,sales.export,purchase_request,PUR0124,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.238
ACD00200,2026-05-13T14:02:00,U0162,Employee,leave.read_all,purchase_request,PUR0173,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.821
ACD00201,2026-04-04T16:42:00,U0063,Employee,employee.update,document,DOC003,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.129
ACD00202,2026-02-19T18:32:00,U0124,Employee,task.reassign,audit_log,AUD006678,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.036
ACD00203,2026-08-06T03:49:00,U0137,Employee,leave.read_all,sales_order,SO002436,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.89
ACD00204,2026-03-10T09:05:00,U0047,Employee,finance.read,purchase_request,PUR0070,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.404
ACD00205,2026-01-30T19:46:00,U0006,Employee|Finance_Manager,ai.execute_low_risk,employee,E0053,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.135
ACD00206,2026-06-19T09:31:00,U0181,Employee,role.manage,audit_log,AUD009653,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.444
ACD00207,2026-04-21T00:38:00,U0092,Employee,project.assign,employee,E0042,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.903
ACD00208,2026-07-17T01:03:00,U0075,Employee,audit.read,sales_order,SO002458,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.46
ACD00209,2026-05-14T04:42:00,U0078,Employee,document.read_hr,sales_order,SO003183,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.879
ACD00210,2026-03-25T23:09:00,U0073,Employee,audit.read,purchase_request,PUR0079,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.856
ACD00211,2026-06-05T14:02:00,U0091,Employee,employee.salary.read,employee,E0150,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.19
ACD00212,2026-03-06T11:00:00,U0175,Employee,sales.export,employee,E0169,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.089
ACD00213,2026-02-21T11:54:00,U0009,Employee|Project_Manager,project.create,employee,E0056,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.134
ACD00214,2026-08-26T01:32:00,U0200,Employee,evaluation.manage,employee,E0129,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.63
ACD00215,2026-03-01T22:18:00,U0109,Employee,leave.read_own,employee,E0129,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.326
ACD00216,2026-02-05T03:31:00,U0130,Employee,role.manage,employee,E0035,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.542
ACD00217,2026-05-29T19:59:00,U0051,Employee,ai.execute_high_risk,purchase_request,PUR0140,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.741
ACD00218,2026-04-10T13:01:00,U0036,Employee,role.manage,employee,E0187,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.248
ACD00219,2026-02-07T08:24:00,U0166,Employee,leave.read_own,project,PRJ007,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.573
ACD00220,2026-02-20T02:04:00,U0007,Employee|Project_Manager,sales.export,audit_log,AUD009656,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.706
ACD00221,2026-01-31T04:15:00,U0034,Employee,employee.read_sensitive,task,T00366,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.343
ACD00222,2026-05-17T04:42:00,U0091,Employee,document.read_security,purchase_request,PUR0084,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.698
ACD00223,2026-07-27T11:59:00,U0019,AI_Reviewer|Employee,employee.read_sensitive,purchase_request,PUR0147,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.243
ACD00224,2026-04-01T02:35:00,U0068,Employee,sales.read,audit_log,AUD005359,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.344
ACD00225,2026-05-04T02:17:00,U0078,Employee,document.upload,task,T00200,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.196
ACD00226,2026-06-20T08:00:00,U0087,Employee,expense.approve,document,DOC012,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.322
ACD00227,2026-08-12T05:33:00,U0057,Employee,evaluation.manage,document,DOC004,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.916
ACD00228,2026-06-02T10:27:00,U0186,Employee,evaluation.manage,task,T00449,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.145
ACD00229,2026-01-26T03:06:00,U0122,Employee,project.assign,project,PRJ010,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.191
ACD00230,2026-05-09T04:46:00,U0035,Employee,employee.read_sensitive,task,T00376,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.369
ACD00231,2026-04-23T02:24:00,U0147,Employee,leave.read_all,sales_order,SO002454,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.698
ACD00232,2026-04-30T03:53:00,U0155,Employee,employee.update,project,PRJ005,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.539
ACD00233,2026-03-10T08:06:00,U0052,Employee,document.read_public,task,T00344,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.699
ACD00234,2026-07-30T23:14:00,U0016,Employee,document.upload,sales_order,SO004855,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.606
ACD00235,2026-07-25T16:47:00,U0120,Employee,employee.read,task,T00292,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.705
ACD00236,2026-02-11T10:56:00,U0040,Employee,task.read,audit_log,AUD003220,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.567
ACD00237,2026-03-30T06:41:00,U0029,Employee,document.read_public,sales_order,SO003157,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.253
ACD00238,2026-06-11T17:36:00,U0177,Employee,employee.read,sales_order,SO000644,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.894
ACD00239,2026-03-20T03:52:00,U0056,Employee,leave.read_own,project,PRJ009,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.184
ACD00240,2026-04-16T18:44:00,U0175,Employee,employee.read,task,T00247,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.459
ACD00241,2026-06-27T03:57:00,U0059,Employee,sales.read,project,PRJ016,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.084
ACD00242,2026-03-06T22:15:00,U0071,Employee,employee.update,employee,E0013,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.74
ACD00243,2026-08-02T00:10:00,U0018,Employee,employee.salary.read,employee,E0169,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.532
ACD00244,2026-07-20T03:11:00,U0186,Employee,approval.review,purchase_request,PUR0158,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.106
ACD00245,2026-04-17T10:20:00,U0178,Employee,document.read_security,audit_log,AUD006062,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.839
ACD00246,2026-04-09T18:50:00,U0056,Employee,approval.review,employee,E0123,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.732
ACD00247,2026-01-18T02:40:00,U0093,Employee,approval.review,audit_log,AUD003279,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.438
ACD00248,2026-04-20T06:22:00,U0044,Employee,document.read_hr,employee,E0126,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.673
ACD00249,2026-01-24T02:03:00,U0096,Employee,document.read_finance,purchase_request,PUR0097,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.268
ACD00250,2026-04-26T13:57:00,U0009,Employee|Project_Manager,user.manage,document,DOC006,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.31
ACD00251,2026-02-10T06:23:00,U0053,Employee,audit.read,project,PRJ008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.635
ACD00252,2026-08-03T01:00:00,U0200,Employee,document.read_hr,document,DOC007,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.914
ACD00253,2026-05-07T06:27:00,U0152,Employee,sales.export,sales_order,SO000844,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.591
ACD00254,2026-06-08T15:57:00,U0075,Employee,employee.read,task,T00300,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.032
ACD00255,2026-03-14T06:44:00,U0067,Employee,document.upload,audit_log,AUD006729,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.733
ACD00256,2026-05-03T08:40:00,U0049,Employee,project.read,sales_order,SO000564,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.136
ACD00257,2026-06-17T23:10:00,U0085,Employee,document.upload,task,T00174,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.481
ACD00258,2026-04-09T02:38:00,U0078,Employee,document.read_finance,task,T00272,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.63
ACD00259,2026-07-16T17:14:00,U0192,Employee,task.read,sales_order,SO003598,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.351
ACD00260,2026-06-26T08:13:00,U0021,Employee,role.manage,sales_order,SO003008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.731
ACD00261,2026-04-30T23:11:00,U0128,Employee,ai.query,project,PRJ010,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.591
ACD00262,2026-05-07T07:54:00,U0125,Employee,leave.read_own,sales_order,SO003784,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.271
ACD00263,2026-01-06T14:46:00,U0046,Employee,role.manage,audit_log,AUD003967,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.864
ACD00264,2026-08-23T15:09:00,U0149,Employee,sales.read,employee,E0143,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.571
ACD00265,2026-04-07T18:34:00,U0190,Employee,project.update,employee,E0135,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.16
ACD00266,2026-01-21T00:01:00,U0068,Employee,leave.read_own,purchase_request,PUR0077,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.345
ACD00267,2026-01-03T01:38:00,U0106,Employee,leave.approve,employee,E0115,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.319
ACD00268,2026-06-11T16:56:00,U0008,Admin|Employee|Security_Officer,project.read,project,PRJ006,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.42
ACD00269,2026-01-03T04:41:00,U0177,Employee,task.read,employee,E0073,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.191
ACD00270,2026-05-07T01:09:00,U0128,Employee,document.read_public,task,T00400,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.663
ACD00271,2026-06-08T14:15:00,U0120,Employee,employee.read,document,DOC010,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.683
ACD00272,2026-01-23T09:38:00,U0114,Employee,task.update_own,document,DOC008,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.512
ACD00273,2026-04-22T11:44:00,U0024,Auditor|Employee,user.manage,document,DOC007,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.829
ACD00274,2026-05-18T03:42:00,U0146,Employee,project.assign,audit_log,AUD000699,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.515
ACD00275,2026-02-26T12:29:00,U0034,Employee,leave.approve,project,PRJ002,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.635
