agent_execution_log_id,workflow_run_id,sequence_number,agent_id,tool_id,started_at,completed_at,duration_ms,input_summary,output_summary,status,confidence_score,input_tokens,output_tokens,estimated_cost_usd,error_type
AEL000386,WFR00110,1,A001,TOOL019,2026-04-22T09:46:00,2026-04-22T09:46:00.428000,428,Approve a four-day leave request.,Request classified and task plan created.,Success,0.815,892,225,0.00428,
AEL000387,WFR00110,2,A002,TOOL016,2026-04-22T09:46:00.486000,2026-04-22T09:46:00.933000,447,Approve a four-day leave request.,Access denied for permission leave.read_all.,Success,0.839,411,119,0.00179,
AEL000388,WFR00111,1,A001,TOOL016,2026-02-14T09:21:00,2026-02-14T09:21:00.650000,650,Which product category has the lowest margin?,Request classified and task plan created.,Success,0.866,143,58,0.00441,
AEL000389,WFR00111,2,A002,TOOL016,2026-02-14T09:21:00.693000,2026-02-14T09:21:00.972000,279,Which product category has the lowest margin?,RBAC and resource-scope decision completed.,Success,0.895,576,138,0.00861,
AEL000390,WFR00111,3,A006,TOOL010,2026-02-14T09:21:00.993000,2026-02-14T09:21:01.619000,626,Which product category has the lowest margin?,Sales aggregation completed.,Success,0.839,411,78,0.00504,
AEL000391,WFR00111,4,A008,TOOL019,2026-02-14T09:21:01.649000,2026-02-14T09:21:01.939000,290,Which product category has the lowest margin?,"Correctness, grounding, and safety validated.",Success,0.949,262,97,0.00468,
AEL000392,WFR00111,5,A009,TOOL019,2026-02-14T09:21:01.965000,2026-02-14T09:21:02.439000,474,Which product category has the lowest margin?,Evidence-based explanation generated.,Success,0.826,420,316,0.01008,
AEL000393,WFR00112,1,A001,TOOL019,2026-06-17T09:08:00,2026-06-17T09:08:00.792000,792,Check Project Atlas and identify overloaded team members.,Request classified and task plan created.,Success,0.932,589,284,0.00632,
AEL000394,WFR00112,2,A002,TOOL016,2026-06-17T09:08:00.804000,2026-06-17T09:08:01.351000,547,Check Project Atlas and identify overloaded team members.,RBAC and resource-scope decision completed.,Success,0.95,231,406,0.0019,
AEL000395,WFR00112,3,A004,TOOL004,2026-06-17T09:08:01.421000,2026-06-17T09:08:01.851000,430,Check Project Atlas and identify overloaded team members.,HR data query completed.,Success,0.808,185,294,0.00486,
AEL000396,WFR00112,4,A005,TOOL007,2026-06-17T09:08:01.925000,2026-06-17T09:08:02.556000,631,Check Project Atlas and identify overloaded team members.,Project and task data query completed.,Success,0.82,318,130,0.00115,
AEL000397,WFR00112,5,A008,TOOL019,2026-06-17T09:08:02.585000,2026-06-17T09:08:03.864000,1279,Check Project Atlas and identify overloaded team members.,"Correctness, grounding, and safety validated.",Success,0.954,802,399,0.00253,
AEL000398,WFR00112,6,A009,TOOL019,2026-06-17T09:08:03.916000,2026-06-17T09:08:04.027000,111,Check Project Atlas and identify overloaded team members.,Evidence-based explanation generated.,Success,0.807,692,151,0.00523,
AEL000399,WFR00113,1,A001,TOOL016,2026-06-18T17:11:00,2026-06-18T17:11:00.467000,467,Approve a four-day leave request.,Request classified and task plan created.,Success,0.944,278,184,0.00589,
AEL000400,WFR00113,2,A002,TOOL019,2026-06-18T17:11:00.537000,2026-06-18T17:11:00.958000,421,Approve a four-day leave request.,Access denied for permission leave.read_all.,Success,0.892,759,118,0.01135,
AEL000401,WFR00114,1,A001,TOOL019,2026-04-22T10:32:00,2026-04-22T10:32:00.657000,657,Compare sales channels in Q2 2026.,Request classified and task plan created.,Success,0.836,422,193,0.00758,
AEL000402,WFR00114,2,A002,TOOL019,2026-04-22T10:32:00.696000,2026-04-22T10:32:01.182000,486,Compare sales channels in Q2 2026.,RBAC and resource-scope decision completed.,Success,0.868,515,290,0.00051,
AEL000403,WFR00114,3,A006,TOOL019,2026-04-22T10:32:01.213000,2026-04-22T10:32:01.680000,467,Compare sales channels in Q2 2026.,Sales aggregation completed.,Success,0.88,632,77,0.00275,
AEL000404,WFR00114,4,A008,TOOL018,2026-04-22T10:32:01.746000,2026-04-22T10:32:02.538000,792,Compare sales channels in Q2 2026.,"Correctness, grounding, and safety validated.",Success,0.968,282,254,0.00874,
AEL000405,WFR00114,5,A009,TOOL019,2026-04-22T10:32:02.549000,2026-04-22T10:32:03.246000,697,Compare sales channels in Q2 2026.,Evidence-based explanation generated.,Success,0.819,942,128,0.00754,
AEL000406,WFR00115,1,A001,TOOL016,2026-03-06T08:35:00,2026-03-06T08:35:00.240000,240,Summarize sick leave by department.,Request classified and task plan created.,Success,0.795,769,375,0.00101,
AEL000407,WFR00115,2,A002,TOOL016,2026-03-06T08:35:00.317000,2026-03-06T08:35:00.746000,429,Summarize sick leave by department.,Access denied for permission leave.read_all.,Success,0.877,903,350,0.00828,
AEL000408,WFR00116,1,A001,TOOL019,2026-04-07T11:25:00,2026-04-07T11:25:00.083000,83,Can the sales manager grant a 22 percent discount?,Request classified and task plan created.,Success,0.849,524,55,0.00903,
AEL000409,WFR00116,2,A002,TOOL016,2026-04-07T11:25:00.097000,2026-04-07T11:25:00.212000,115,Can the sales manager grant a 22 percent discount?,RBAC and resource-scope decision completed.,Success,0.788,252,292,0.00233,
AEL000410,WFR00116,3,A006,TOOL011,2026-04-07T11:25:00.291000,2026-04-07T11:25:00.993000,702,Can the sales manager grant a 22 percent discount?,Sales aggregation completed.,Success,0.866,150,309,0.00747,
AEL000411,WFR00116,4,A007,TOOL019,2026-04-07T11:25:01.024000,2026-04-07T11:25:01.283000,259,Can the sales manager grant a 22 percent discount?,Finance policy and request data evaluated.,Success,0.883,254,124,0.00697,
AEL000412,WFR00116,5,A010,TOOL005,2026-04-07T11:25:01.303000,2026-04-07T11:25:01.757000,454,Can the sales manager grant a 22 percent discount?,Human approval workflow created or resumed.,Success,0.929,467,189,0.00257,
AEL000413,WFR00116,6,A009,TOOL019,2026-04-07T11:25:01.771000,2026-04-07T11:25:02.529000,758,Can the sales manager grant a 22 percent discount?,Evidence-based explanation generated.,Recovered,0.899,128,64,0.00854,transient_tool_timeout
AEL000414,WFR00117,1,A001,TOOL016,2026-03-16T14:03:00,2026-03-16T14:03:00.730000,730,Summarize sick leave by department.,Request classified and task plan created.,Success,0.97,689,198,0.0118,
AEL000415,WFR00117,2,A002,TOOL019,2026-03-16T14:03:00.756000,2026-03-16T14:03:01.576000,820,Summarize sick leave by department.,Access denied for permission leave.read_all.,Success,0.963,782,178,0.01047,
AEL000416,WFR00118,1,A001,TOOL016,2026-05-03T14:04:00,2026-05-03T14:04:00.344000,344,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",Request classified and task plan created.,Success,0.862,200,217,0.01002,
AEL000417,WFR00118,2,A002,TOOL016,2026-05-03T14:04:00.410000,2026-05-03T14:04:00.752000,342,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",Access denied for permission ai.query.,Success,0.805,798,206,0.00792,
AEL000418,WFR00119,1,A001,TOOL016,2026-07-22T13:18:00,2026-07-22T13:18:00.482000,482,Route this discount exception.,Request classified and task plan created.,Success,0.816,382,116,0.01144,
AEL000419,WFR00119,2,A002,TOOL019,2026-07-22T13:18:00.561000,2026-07-22T13:18:00.999000,438,Route this discount exception.,RBAC and resource-scope decision completed.,Success,0.926,259,216,0.00503,
AEL000420,WFR00119,3,A006,TOOL011,2026-07-22T13:18:01.056000,2026-07-22T13:18:01.596000,540,Route this discount exception.,Sales aggregation completed.,Success,0.861,589,316,0.00804,
AEL000421,WFR00119,4,A007,TOOL019,2026-07-22T13:18:01.615000,2026-07-22T13:18:02.068000,453,Route this discount exception.,Finance policy and request data evaluated.,Success,0.984,188,301,0.00851,
AEL000422,WFR00119,5,A010,TOOL019,2026-07-22T13:18:02.122000,2026-07-22T13:18:02.355000,233,Route this discount exception.,Human approval workflow created or resumed.,Success,0.785,212,308,0.00477,
AEL000423,WFR00119,6,A009,TOOL019,2026-07-22T13:18:02.414000,2026-07-22T13:18:02.854000,440,Route this discount exception.,Evidence-based explanation generated.,Success,0.964,232,195,0.01062,
AEL000424,WFR00120,1,A001,TOOL016,2026-01-03T08:13:00,2026-01-03T08:13:00.190000,190,Which project teams have workload above 100 percent?,Request classified and task plan created.,Success,0.867,470,399,0.01019,
AEL000425,WFR00120,2,A002,TOOL019,2026-01-03T08:13:00.211000,2026-01-03T08:13:00.927000,716,Which project teams have workload above 100 percent?,RBAC and resource-scope decision completed.,Success,0.906,904,331,0.01169,
AEL000426,WFR00120,3,A004,TOOL001,2026-01-03T08:13:00.960000,2026-01-03T08:13:01.459000,499,Which project teams have workload above 100 percent?,HR data query completed.,Success,0.92,459,341,0.01017,
AEL000427,WFR00120,4,A005,TOOL007,2026-01-03T08:13:01.524000,2026-01-03T08:13:01.950000,426,Which project teams have workload above 100 percent?,Project and task data query completed.,Success,0.819,854,130,0.00936,
AEL000428,WFR00120,5,A008,TOOL019,2026-01-03T08:13:02.003000,2026-01-03T08:13:02.663000,660,Which project teams have workload above 100 percent?,"Correctness, grounding, and safety validated.",Success,0.789,815,53,0.00974,
AEL000429,WFR00120,6,A009,TOOL019,2026-01-03T08:13:02.693000,2026-01-03T08:13:03.481000,788,Which project teams have workload above 100 percent?,Evidence-based explanation generated.,Success,0.82,482,322,0.00832,
AEL000430,WFR00121,1,A001,TOOL016,2026-01-05T10:55:00,2026-01-05T10:55:00.765000,765,Show my leave history.,Request classified and task plan created.,Success,0.915,694,46,0.008,
AEL000431,WFR00121,2,A002,TOOL019,2026-01-05T10:55:00.796000,2026-01-05T10:55:00.956000,160,Show my leave history.,Access denied for permission leave.read_all.,Success,0.979,388,268,0.00506,
AEL000432,WFR00122,1,A001,TOOL016,2026-04-10T18:30:00,2026-04-10T18:30:00.252000,252,Reassign task after checking workload.,Request classified and task plan created.,Success,0.828,670,341,0.00258,
AEL000433,WFR00122,2,A002,TOOL019,2026-04-10T18:30:00.330000,2026-04-10T18:30:00.808000,478,Reassign task after checking workload.,RBAC and resource-scope decision completed.,Success,0.844,625,303,0.00484,
AEL000434,WFR00122,3,A004,TOOL002,2026-04-10T18:30:00.884000,2026-04-10T18:30:01.471000,587,Reassign task after checking workload.,HR data query completed.,Success,0.939,500,378,0.00679,
AEL000435,WFR00122,4,A005,TOOL009,2026-04-10T18:30:01.498000,2026-04-10T18:30:02.091000,593,Reassign task after checking workload.,Project and task data query completed.,Success,0.958,320,330,0.00928,
AEL000436,WFR00122,5,A008,TOOL017,2026-04-10T18:30:02.163000,2026-04-10T18:30:03.399000,1236,Reassign task after checking workload.,"Correctness, grounding, and safety validated.",Success,0.877,156,408,0.00257,
AEL000437,WFR00122,6,A010,TOOL019,2026-04-10T18:30:03.425000,2026-04-10T18:30:04.240000,815,Reassign task after checking workload.,Human approval workflow created or resumed.,Success,0.877,576,323,0.00608,
AEL000438,WFR00122,7,A009,TOOL019,2026-04-10T18:30:04.279000,2026-04-10T18:30:04.403000,124,Reassign task after checking workload.,Evidence-based explanation generated.,Success,0.875,454,349,0.00061,
AEL000439,WFR00123,1,A001,TOOL019,2026-01-29T09:41:00,2026-01-29T09:41:00.189000,189,Analyze Project Atlas status.,Request classified and task plan created.,Success,0.89,235,62,0.00811,
AEL000440,WFR00123,2,A002,TOOL016,2026-01-29T09:41:00.268000,2026-01-29T09:41:00.639000,371,Analyze Project Atlas status.,RBAC and resource-scope decision completed.,Success,0.902,898,79,0.01139,
AEL000441,WFR00123,3,A005,TOOL006,2026-01-29T09:41:00.664000,2026-01-29T09:41:01.238000,574,Analyze Project Atlas status.,Project and task data query completed.,Success,0.972,789,383,0.0083,
AEL000442,WFR00123,4,A008,TOOL017,2026-01-29T09:41:01.301000,2026-01-29T09:41:01.866000,565,Analyze Project Atlas status.,"Correctness, grounding, and safety validated.",Success,0.856,669,247,0.00384,
AEL000443,WFR00123,5,A009,TOOL019,2026-01-29T09:41:01.906000,2026-01-29T09:41:02.270000,364,Analyze Project Atlas status.,Evidence-based explanation generated.,Success,0.806,546,127,0.00624,
AEL000444,WFR00124,1,A001,TOOL019,2026-07-07T13:31:00,2026-07-07T13:31:00.397000,397,Which region has the highest sales and profit?,Request classified and task plan created.,Success,0.829,533,146,0.00067,
AEL000445,WFR00124,2,A002,TOOL019,2026-07-07T13:31:00.439000,2026-07-07T13:31:00.953000,514,Which region has the highest sales and profit?,RBAC and resource-scope decision completed.,Success,0.792,785,372,0.00822,
AEL000446,WFR00124,3,A006,TOOL019,2026-07-07T13:31:01.024000,2026-07-07T13:31:01.920000,896,Which region has the highest sales and profit?,Sales aggregation completed.,Success,0.915,333,304,0.00569,
AEL000447,WFR00124,4,A008,TOOL017,2026-07-07T13:31:01.968000,2026-07-07T13:31:02.823000,855,Which region has the highest sales and profit?,"Correctness, grounding, and safety validated.",Success,0.881,347,272,0.01007,
AEL000448,WFR00124,5,A009,TOOL019,2026-07-07T13:31:02.882000,2026-07-07T13:31:03.107000,225,Which region has the highest sales and profit?,Evidence-based explanation generated.,Success,0.786,655,65,0.00924,
AEL000449,WFR00125,1,A001,TOOL016,2026-07-18T15:51:00,2026-07-18T15:51:00.724000,724,Which project teams have workload above 100 percent?,Request classified and task plan created.,Success,0.834,555,87,0.01121,
AEL000450,WFR00125,2,A002,TOOL016,2026-07-18T15:51:00.750000,2026-07-18T15:51:00.889000,139,Which project teams have workload above 100 percent?,RBAC and resource-scope decision completed.,Success,0.963,183,227,0.00275,
AEL000451,WFR00125,3,A004,TOOL019,2026-07-18T15:51:00.910000,2026-07-18T15:51:01.015000,105,Which project teams have workload above 100 percent?,HR data query completed.,Success,0.931,282,360,0.00429,
AEL000452,WFR00125,4,A005,TOOL008,2026-07-18T15:51:01.049000,2026-07-18T15:51:01.146000,97,Which project teams have workload above 100 percent?,Project and task data query completed.,Success,0.883,521,147,0.01139,
AEL000453,WFR00125,5,A008,TOOL017,2026-07-18T15:51:01.173000,2026-07-18T15:51:02.249000,1076,Which project teams have workload above 100 percent?,"Correctness, grounding, and safety validated.",Success,0.816,732,408,0.01108,
AEL000454,WFR00125,6,A009,TOOL019,2026-07-18T15:51:02.263000,2026-07-18T15:51:03.015000,752,Which project teams have workload above 100 percent?,Evidence-based explanation generated.,Success,0.889,642,100,0.00574,
AEL000455,WFR00126,1,A001,TOOL019,2026-05-08T11:14:00,2026-05-08T11:14:00.416000,416,Approve a 15 percent discount for this order.,Request classified and task plan created.,Success,0.859,213,360,0.00571,
AEL000456,WFR00126,2,A002,TOOL019,2026-05-08T11:14:00.478000,2026-05-08T11:14:01.300000,822,Approve a 15 percent discount for this order.,RBAC and resource-scope decision completed.,Success,0.975,339,322,0.00911,
AEL000457,WFR00126,3,A006,TOOL011,2026-05-08T11:14:01.364000,2026-05-08T11:14:02.018000,654,Approve a 15 percent discount for this order.,Sales aggregation completed.,Success,0.872,700,181,0.00055,
AEL000458,WFR00126,4,A007,TOOL012,2026-05-08T11:14:02.075000,2026-05-08T11:14:02.413000,338,Approve a 15 percent discount for this order.,Finance policy and request data evaluated.,Success,0.893,829,132,0.00979,
AEL000459,WFR00126,5,A010,TOOL008,2026-05-08T11:14:02.473000,2026-05-08T11:14:02.644000,171,Approve a 15 percent discount for this order.,Human approval workflow created or resumed.,Success,0.853,645,336,0.00857,
AEL000460,WFR00126,6,A009,TOOL019,2026-05-08T11:14:02.665000,2026-05-08T11:14:03.451000,786,Approve a 15 percent discount for this order.,Evidence-based explanation generated.,Success,0.85,696,338,0.00832,
AEL000461,WFR00127,1,A001,TOOL016,2026-07-28T10:18:00,2026-07-28T10:18:00.098000,98,Which product category has the lowest margin?,Request classified and task plan created.,Success,0.842,920,77,0.00336,
AEL000462,WFR00127,2,A002,TOOL016,2026-07-28T10:18:00.167000,2026-07-28T10:18:00.279000,112,Which product category has the lowest margin?,RBAC and resource-scope decision completed.,Success,0.963,260,108,0.01006,
AEL000463,WFR00127,3,A006,TOOL019,2026-07-28T10:18:00.334000,2026-07-28T10:18:01.131000,797,Which product category has the lowest margin?,Sales aggregation completed.,Success,0.802,329,190,0.00672,
AEL000464,WFR00127,4,A008,TOOL019,2026-07-28T10:18:01.164000,2026-07-28T10:18:02.497000,1333,Which product category has the lowest margin?,"Correctness, grounding, and safety validated.",Success,0.97,529,139,0.01172,
AEL000465,WFR00127,5,A009,TOOL019,2026-07-28T10:18:02.567000,2026-07-28T10:18:02.664000,97,Which product category has the lowest margin?,Evidence-based explanation generated.,Success,0.903,285,287,0.00469,
AEL000466,WFR00128,1,A001,TOOL019,2026-07-07T14:52:00,2026-07-07T14:52:00.159000,159,Which region has the highest sales and profit?,Request classified and task plan created.,Success,0.882,736,160,0.01121,
AEL000467,WFR00128,2,A002,TOOL019,2026-07-07T14:52:00.191000,2026-07-07T14:52:00.461000,270,Which region has the highest sales and profit?,RBAC and resource-scope decision completed.,Success,0.807,850,287,0.00712,
AEL000468,WFR00128,3,A006,TOOL019,2026-07-07T14:52:00.514000,2026-07-07T14:52:01.008000,494,Which region has the highest sales and profit?,Sales aggregation completed.,Success,0.881,496,353,0.00945,
AEL000469,WFR00128,4,A008,TOOL018,2026-07-07T14:52:01.043000,2026-07-07T14:52:01.535000,492,Which region has the highest sales and profit?,"Correctness, grounding, and safety validated.",Success,0.9,752,45,0.00283,
AEL000470,WFR00128,5,A009,TOOL019,2026-07-07T14:52:01.571000,2026-07-07T14:52:01.664000,93,Which region has the highest sales and profit?,Evidence-based explanation generated.,Success,0.957,914,159,0.00226,
AEL000471,WFR00129,1,A001,TOOL016,2026-07-19T10:17:00,2026-07-19T10:17:00.200000,200,Retrieve the restricted security policy.,Request classified and task plan created.,Success,0.796,919,386,0.00924,
AEL000472,WFR00129,2,A002,TOOL019,2026-07-19T10:17:00.223000,2026-07-19T10:17:00.557000,334,Retrieve the restricted security policy.,Access denied for permission document.read_security.,Success,0.931,344,372,0.00352,
AEL000473,WFR00130,1,A001,TOOL016,2026-05-22T17:39:00,2026-05-22T17:39:00.788000,788,Analyze Project Atlas status.,Request classified and task plan created.,Success,0.937,672,349,0.0069,
AEL000474,WFR00130,2,A002,TOOL019,2026-05-22T17:39:00.839000,2026-05-22T17:39:01.305000,466,Analyze Project Atlas status.,RBAC and resource-scope decision completed.,Success,0.975,225,334,0.0117,
AEL000475,WFR00130,3,A005,TOOL007,2026-05-22T17:39:01.333000,2026-05-22T17:39:01.640000,307,Analyze Project Atlas status.,Project and task data query completed.,Success,0.886,595,46,0.00688,
AEL000476,WFR00130,4,A008,TOOL017,2026-05-22T17:39:01.712000,2026-05-22T17:39:02.946000,1234,Analyze Project Atlas status.,"Correctness, grounding, and safety validated.",Success,0.806,434,83,0.001,
AEL000477,WFR00130,5,A009,TOOL019,2026-05-22T17:39:03.015000,2026-05-22T17:39:03.101000,86,Analyze Project Atlas status.,Evidence-based explanation generated.,Success,0.875,587,333,0.00745,
AEL000478,WFR00131,1,A001,TOOL019,2026-03-20T15:28:00,2026-03-20T15:28:00.150000,150,Create a cross-domain operational risk briefing.,Request classified and task plan created.,Success,0.795,428,112,0.01009,
AEL000479,WFR00131,2,A002,TOOL019,2026-03-20T15:28:00.183000,2026-03-20T15:28:00.373000,190,Create a cross-domain operational risk briefing.,Access denied for permission ai.query.,Success,0.85,196,212,0.00263,
AEL000480,WFR00132,1,A001,TOOL016,2026-07-03T09:02:00,2026-07-03T09:02:00.702000,702,Summarize sick leave by department.,Request classified and task plan created.,Success,0.977,545,379,0.00219,
AEL000481,WFR00132,2,A002,TOOL019,2026-07-03T09:02:00.780000,2026-07-03T09:02:01.482000,702,Summarize sick leave by department.,Access denied for permission leave.read_all.,Success,0.849,335,274,0.00391,
AEL000482,WFR00133,1,A001,TOOL019,2026-03-26T14:36:00,2026-03-26T14:36:00.161000,161,Which product category has the lowest margin?,Request classified and task plan created.,Success,0.89,342,396,0.01109,
AEL000483,WFR00133,2,A002,TOOL019,2026-03-26T14:36:00.221000,2026-03-26T14:36:00.322000,101,Which product category has the lowest margin?,RBAC and resource-scope decision completed.,Success,0.969,669,206,0.00265,
AEL000484,WFR00133,3,A006,TOOL011,2026-03-26T14:36:00.347000,2026-03-26T14:36:00.687000,340,Which product category has the lowest margin?,Sales aggregation completed.,Success,0.829,423,184,0.01074,
AEL000485,WFR00133,4,A008,TOOL019,2026-03-26T14:36:00.697000,2026-03-26T14:36:01.199000,502,Which product category has the lowest margin?,"Correctness, grounding, and safety validated.",Success,0.933,720,305,0.012,
AEL000486,WFR00133,5,A009,TOOL019,2026-03-26T14:36:01.258000,2026-03-26T14:36:01.671000,413,Which product category has the lowest margin?,Evidence-based explanation generated.,Success,0.86,236,324,0.01131,
AEL000487,WFR00134,1,A001,TOOL019,2026-05-27T12:19:00,2026-05-27T12:19:00.100000,100,Summarize sick leave by department.,Request classified and task plan created.,Success,0.964,227,247,0.01066,
AEL000488,WFR00134,2,A002,TOOL016,2026-05-27T12:19:00.144000,2026-05-27T12:19:00.967000,823,Summarize sick leave by department.,Access denied for permission leave.read_all.,Success,0.981,136,346,0.00406,
AEL000489,WFR00135,1,A001,TOOL019,2026-01-25T13:00:00,2026-01-25T13:00:00.648000,648,Show my leave history.,Request classified and task plan created.,Success,0.98,649,233,0.00486,
AEL000490,WFR00135,2,A002,TOOL019,2026-01-25T13:00:00.728000,2026-01-25T13:00:01.403000,675,Show my leave history.,Access denied for permission leave.read_all.,Success,0.807,507,193,0.00074,
AEL000491,WFR00136,1,A001,TOOL016,2026-01-11T17:18:00,2026-01-11T17:18:00.362000,362,Show current hallucination and pass rates.,Request classified and task plan created.,Success,0.845,483,132,0.00987,
AEL000492,WFR00136,2,A002,TOOL016,2026-01-11T17:18:00.397000,2026-01-11T17:18:00.510000,113,Show current hallucination and pass rates.,Access denied for permission evaluation.read.,Success,0.852,346,95,0.00923,
AEL000493,WFR00137,1,A001,TOOL016,2026-07-27T18:27:00,2026-07-27T18:27:00.451000,451,Approve a four-day leave request.,Request classified and task plan created.,Success,0.989,227,369,0.00575,
AEL000494,WFR00137,2,A002,TOOL016,2026-07-27T18:27:00.529000,2026-07-27T18:27:01.300000,771,Approve a four-day leave request.,Access denied for permission leave.read_all.,Success,0.924,566,176,0.0109,
AEL000495,WFR00138,1,A001,TOOL016,2026-02-15T09:49:00,2026-02-15T09:49:00.692000,692,Approve a 15 percent discount for this order.,Request classified and task plan created.,Recovered,0.8,361,416,0.00712,transient_tool_timeout
AEL000496,WFR00138,2,A002,TOOL016,2026-02-15T09:49:00.718000,2026-02-15T09:49:01.517000,799,Approve a 15 percent discount for this order.,RBAC and resource-scope decision completed.,Success,0.812,574,333,0.00984,
AEL000497,WFR00138,3,A006,TOOL019,2026-02-15T09:49:01.577000,2026-02-15T09:49:02.199000,622,Approve a 15 percent discount for this order.,Sales aggregation completed.,Success,0.883,614,398,0.00916,
AEL000498,WFR00138,4,A007,TOOL013,2026-02-15T09:49:02.244000,2026-02-15T09:49:02.896000,652,Approve a 15 percent discount for this order.,Finance policy and request data evaluated.,Success,0.963,862,141,0.0106,
AEL000499,WFR00138,5,A010,TOOL019,2026-02-15T09:49:02.969000,2026-02-15T09:49:03.221000,252,Approve a 15 percent discount for this order.,Human approval workflow created or resumed.,Success,0.955,344,262,0.00466,
AEL000500,WFR00138,6,A009,TOOL019,2026-02-15T09:49:03.238000,2026-02-15T09:49:03.740000,502,Approve a 15 percent discount for this order.,Evidence-based explanation generated.,Success,0.829,442,301,0.00409,
AEL000501,WFR00139,1,A001,TOOL016,2026-07-28T13:57:00,2026-07-28T13:57:00.723000,723,Which project teams have workload above 100 percent?,Request classified and task plan created.,Success,0.814,809,320,0.00046,
AEL000502,WFR00139,2,A002,TOOL019,2026-07-28T13:57:00.746000,2026-07-28T13:57:01.423000,677,Which project teams have workload above 100 percent?,RBAC and resource-scope decision completed.,Success,0.963,660,297,0.00252,
AEL000503,WFR00139,3,A004,TOOL019,2026-07-28T13:57:01.496000,2026-07-28T13:57:02.050000,554,Which project teams have workload above 100 percent?,HR data query completed.,Success,0.949,138,367,0.0041,
AEL000504,WFR00139,4,A005,TOOL008,2026-07-28T13:57:02.095000,2026-07-28T13:57:02.695000,600,Which project teams have workload above 100 percent?,Project and task data query completed.,Success,0.96,125,321,0.00168,
AEL000505,WFR00139,5,A008,TOOL017,2026-07-28T13:57:02.738000,2026-07-28T13:57:03.388000,650,Which project teams have workload above 100 percent?,"Correctness, grounding, and safety validated.",Success,0.936,916,418,0.00802,
AEL000506,WFR00139,6,A009,TOOL019,2026-07-28T13:57:03.433000,2026-07-28T13:57:04.108000,675,Which project teams have workload above 100 percent?,Evidence-based explanation generated.,Success,0.949,169,187,0.01184,
AEL000507,WFR00140,1,A001,TOOL019,2026-08-06T12:01:00,2026-08-06T12:01:00.215000,215,Which product category has the lowest margin?,Request classified and task plan created.,Success,0.965,303,109,0.0085,
AEL000508,WFR00140,2,A002,TOOL016,2026-08-06T12:01:00.292000,2026-08-06T12:01:00.908000,616,Which product category has the lowest margin?,RBAC and resource-scope decision completed.,Success,0.936,404,55,0.00085,
AEL000509,WFR00140,3,A006,TOOL010,2026-08-06T12:01:00.979000,2026-08-06T12:01:01.915000,936,Which product category has the lowest margin?,Sales aggregation completed.,Success,0.835,916,350,0.00603,
AEL000510,WFR00140,4,A008,TOOL018,2026-08-06T12:01:01.954000,2026-08-06T12:01:02.257000,303,Which product category has the lowest margin?,"Correctness, grounding, and safety validated.",Success,0.978,131,238,0.00152,
AEL000511,WFR00140,5,A009,TOOL019,2026-08-06T12:01:02.294000,2026-08-06T12:01:02.803000,509,Which product category has the lowest margin?,Evidence-based explanation generated.,Success,0.908,797,326,0.00594,
AEL000512,WFR00141,1,A001,TOOL019,2026-05-19T10:23:00,2026-05-19T10:23:00.820000,820,Reassign task after checking workload.,Request classified and task plan created.,Success,0.98,649,408,0.00697,
AEL000513,WFR00141,2,A002,TOOL016,2026-05-19T10:23:00.839000,2026-05-19T10:23:01.579000,740,Reassign task after checking workload.,RBAC and resource-scope decision completed.,Success,0.784,218,41,0.00412,
AEL000514,WFR00141,3,A004,TOOL003,2026-05-19T10:23:01.614000,2026-05-19T10:23:02.263000,649,Reassign task after checking workload.,HR data query completed.,Success,0.943,891,103,0.0102,
AEL000515,WFR00141,4,A005,TOOL009,2026-05-19T10:23:02.298000,2026-05-19T10:23:02.730000,432,Reassign task after checking workload.,Project and task data query completed.,Success,0.921,676,108,0.00851,
AEL000516,WFR00141,5,A008,TOOL019,2026-05-19T10:23:02.776000,2026-05-19T10:23:03.362000,586,Reassign task after checking workload.,"Correctness, grounding, and safety validated.",Success,0.797,224,91,0.00885,
AEL000517,WFR00141,6,A010,TOOL005,2026-05-19T10:23:03.400000,2026-05-19T10:23:03.578000,178,Reassign task after checking workload.,Human approval workflow created or resumed.,Success,0.893,145,198,0.00989,
AEL000518,WFR00141,7,A009,TOOL019,2026-05-19T10:23:03.623000,2026-05-19T10:23:03.973000,350,Reassign task after checking workload.,Evidence-based explanation generated.,Success,0.917,449,43,0.00836,
AEL000519,WFR00142,1,A001,TOOL019,2026-03-12T16:40:00,2026-03-12T16:40:00.636000,636,Can an employee read the compensation policy?,Request classified and task plan created.,Success,0.987,224,192,0.00469,
AEL000520,WFR00142,2,A002,TOOL016,2026-03-12T16:40:00.696000,2026-03-12T16:40:01.042000,346,Can an employee read the compensation policy?,Access denied for permission document.read_finance.,Success,0.784,402,261,0.00052,
AEL000521,WFR00143,1,A001,TOOL019,2026-02-23T12:48:00,2026-02-23T12:48:00.796000,796,Can the sales manager grant a 22 percent discount?,Request classified and task plan created.,Success,0.905,517,83,0.00439,
AEL000522,WFR00143,2,A002,TOOL019,2026-02-23T12:48:00.821000,2026-02-23T12:48:00.964000,143,Can the sales manager grant a 22 percent discount?,RBAC and resource-scope decision completed.,Success,0.87,813,232,0.00854,
